id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
86,bartolome serrrano  1-17 simon bolivar , PARROQUIA RICAURTE SECTOR CUATRO ESQUINAS ,86,RICAURTE;
"87,AV. 12 DE ABRIL Y AV. LOJA,,87,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
88,AV. DE LAS AMERICAS 13-00 MARISCAL LAMAR,,88,SAN SEBASTIÁN;
"89,MIGUEL CORDERO 2-124 ALFONSO CORDERO,,89,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
90,BAJA DEL PADRON 4-07 Y CALLE LARGA,FRENTE AL SUPERMAXI,90,SAN SEBASTIÁN;
"91,AV. DE LAS AMERICAS Y 12 DE ABRIL,"" Miguel Cordero 2-124 y Alfonso Cordero, esquina. Sector el estadio. A una cuadra del Supermaxi del Vergel "",91,HUAYNACÁPAC";
"92,AV. DE LAS AMERICAS Y AV. DON BOSCO,,92,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"93,Av. Ricardo Durán S-N Alfonso Carrión,,93,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"94,MIGUEL HEREDIA 3-07 VEGA MUÑOZ,,94,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
95,VEGA MUÑOZ 7-45 LUIS CORDERO, A media cuadra de la entrada a la Hostería Durán y a media cuadra del PAI de Baños.&nbsp  ,95,BAÑOS;
96,PRESIDENTE CORDOVA 6-45 BORRERO,A UNA CUADRA DEL PARQUE PLAZA DEL ARTE,96,SAN SEBASTIÁN;
97,AV. 10 DE AGOSTO Y A. CUEVA, A DOS CUADRAS DE LA IGLESIA DE MARIA AUXILIADORA ,97,EL SAGRARIO;
98,PASAJE SOJOS 1-17 FRANCISCA SOJOS,CENTRO,98,EL VECINO;
"99,ESTEVEZ DE TORAL N.- 11-90 Y SANGURIMA,,99,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
100,AV. ESPAÑA 17-97,FRENTE AL PARQUE DE LA CIUDADELA,100,HUAYNACÁPAC;
"101,AV ESPANA 502 BARCELONA,,101,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"102,GRAN COLOMBIA 10-13 PADRE AGUIRRE,,102,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"103,LAMAR 11-51,"" AV ESPAÑA JUNTO AL BANCO DEL GUAYAQUIL, DIAGONAL AL TERMINAL TERRESTRE "",103,EL VECINO";
104,VIA AL CAJAS SECTOR DOS CHORRERAS,FRENTE A LA IGLESIA SANTO DOMINGO,104,EL SAGRARIO;
"105,RICAURTE SECTOR 4 ESQUINAS,,105,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"106,SIMÓN BOLÍVAR 11-19 GENERAL TORRES,,106,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"107,LAMAR 10-26,,107,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
108,AV. ORDOÑEZ LASSO S/N JOSE RODRIGUEZ PARRA,A MEDIA CUADRA DE LA DIRECCION DE EDUCACION,108,GIL RAMÍREZ DÁVALOS;
"109,SECTOR SAN MIGUEL SAYAUSI,,109,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"110,LUIS CORDERO 7-42 PRESIDENTE CORDOVA,""SECTOR VIRGEN DEL MILAGRO, FRENTE A UNA LAVADORA DE AUTOS"",110,SAN SEBASTIÁN";
"111,VIA A NULTI A 300M ESCUELA BALAREZO,,111,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
112,REMIGIO CRESPO 7-79, A UNA CUADRA DEL PARQUE CENTRAL ,112,EL SAGRARIO;
"113,LUIS MORENO MORA 4-42 Y CORNELIO MERCHAN,,113,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"114,AV. FRANCISCO MOSCOSO Y 27 DE FEBRERO,,114,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"115,AV REMIGIO CRESPO 4-53 Y RICARDO MUÑOZ,,115,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"116,ELIA LIUT Y CALLE VIEJA,,116,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"117,BENIGNO MALO 12-75 Y VEGA MUÑOZ,,117,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"118,Borrero  12-08 Sangurima,,118,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"119,BENGNO MALO SN SIMON BOLIVAR,,119,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
120,REMIGIO TAMARIZ S/N Y ALFONSO BORRERO, Tres cuadas antes de llegar a la iglesia san alfonso sobre la calle borrero. ,120,EL SAGRARIO;
121,antonio borrero 7-51 sucre, FRENTE AL PARQUE CALDERON EN LA CALLE BENGNO MALO ANTES DE LLEGAR AL TUTTO FREDO DE LA SIMON BOLIVAR ENTRAR AL SEMINARIO SAN LUS Y SUBR AL SEGUNDO PISO ,121,GIL RAMÍREZ DÁVALOS;
122,VIA A RAKAR SECTOR FATIMA,A DOS CUADRAS DE LA UNIVERSIDAD DE CUENCA,122,SUCRE;
123,CARLOS ARIZAGA VEGA (SECTOR SAN JOAQUIN), frente al banco del austro ,123,EL SAGRARIO;
"124,""HONORATO,LOYOLA 1-152 Y AGUSTIN CUEVA"",,124,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"125,av de las americas s/n juan pio montufar,,125,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"126,HONORATO VASQUEZ S/N Y BORRERO,,126,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
127,SANTIAGO CARRASCO 1-10 Y PASAJE, frente a coralcentro ,127,YANUNCAY;
"128,FELIPE II SN CIRCUNVALACION SUR,,128,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"129,ANTIGUA SUBIDA A TURI Y AV 24 DE MAYO,,129,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
