id_Parroquia,nombre,cabecera,Id_Canton,id_direccion
"183,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"184,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"185,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"186,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"187,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"188,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"189,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"190,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"191,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"192,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"193,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"194,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"195,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"196,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"197,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"198,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"199,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"200,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"201,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"202,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"203,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"204,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"205,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"206,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"207,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"208,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"209,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"210,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"211,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"212,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"213,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"214,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"215,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"216,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"217,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"218,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"219,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"220,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
