id_actividad,actividad,id_canton,canton,codigo_canton,poblacion,id_provincia,id_categoria,categoria,id_contacto,id_establecimiento,correo_electronico,telefono_principal,telefono_secundario,id_establecimiento,id_tipo_comercio,nombre,direccion_web,direccion,nombre_categoria,id_establecimiento,id_actividad,id_parroquia,parroquia,id_canton,id_provincias,provincia,ventas_generadas,establecimientos_regulados,id_tipo_comercio,clasificacion,id,direccion,referencia,id_parroquia
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,2,"SEGUNDA                                           ",1,1,,072430452,,588,1,"PUENTE  ROTO",,"PASAJE  FRANCISCO  TALBOT  No.  1-69",SEGUNDA,588,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,429,"PASAJE  FRANCISCO  TALBOT  No.  1-69",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,7,"(1)  Un  tenedor                                  ",1,1,,072430452,,584,1,"DUBAI  EXPRESS  FAST  FOOD",,"REMIGIO  CRESPO  TORAL  3-54  AGUSTIN  CUEVA","(1)  Un  tenedor",584,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,426,"REMIGIO  CRESPO  TORAL  3-54  AGUSTIN  CUEVA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,7,"(1)  Un  tenedor                                  ",1,1,,072430452,,582,1,"ROCK  FORK  RESTAURANT",,"ROBERTO  CRESPO  TORAL  SN  MIGUEL  CORDERO  DAVILA","(1)  Un  tenedor",582,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,424,"ROBERTO  CRESPO  TORAL  SN  MIGUEL  CORDERO  DAVILA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,7,"(1)  Un  tenedor                                  ",1,1,,072430452,,577,1,"  CASTILLO  DEL  RIO",,"AV  GONZALES  SUARES  S/n  EMILIANO  ZAPATA","(1)  Un  tenedor",577,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,419,"AV  GONZALES  SUARES  S/n  EMILIANO  ZAPATA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,3,"CUARTA                                            ",1,1,,072430452,,576,1,"DELICIAS  DEL  VALLE",,"VIA  AL  VALLE  Y  ENTRADA  A  SAN  ANTONIO  DE  GAPAL,  SECTOR  CHILCAPAMBA",CUARTA,576,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,418,"VIA  AL  VALLE  Y  ENTRADA  A  SAN  ANTONIO  DE  GAPAL,  SECTOR  CHILCAPAMBA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,7,"(1)  Un  tenedor                                  ",1,1,,072430452,,572,1,"SANDWICH  PLACE",,"AV  PRIMERO  DE  MAYO  S/N  12  DE  OCTUBRE","(1)  Un  tenedor",572,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,414,"AV  PRIMERO  DE  MAYO  S/N  12  DE  OCTUBRE",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,2,"SEGUNDA                                           ",1,1,,072430452,,571,8,"ZOMBIS  ICE",,"CENTRO  COMERCIAL  MILENIUM  PLAZA",SEGUNDA,571,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",413,"CENTRO  COMERCIAL  MILENIUM  PLAZA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,21,"(2)  Dos  tenedores                               ",1,1,,072430452,,563,1,TACANIJO,,"HUACAS  1-54  AV  DE  LAS  AMERICAS","(2)  Dos  tenedores",563,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,406,"HUACAS  1-54  AV  DE  LAS  AMERICAS",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,23,"(1)  Una  taza                                    ",1,1,,072430452,,562,6,"ANDRA  COFFEE  -  HAUS",,"Aurelio  Aguilar  2-122  Agustin  Cueva","(1)  Una  taza",562,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,6,CAFETERÍA,405,"Aurelio  Aguilar  2-122  Agustin  Cueva",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,554,1,"DELICIAS  LAS  ",,"SIMON  BOLIVAR  2-34  Y  TOMAS  ORDOÑEZ",TERCERA,554,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,397,"SIMON  BOLIVAR  2-34  Y  TOMAS  ORDOÑEZ",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,554,1,"DELICIAS  LAS  ",,"SIMON  BOLIVAR  2-34  Y  TOMAS  ORDOÑEZ",TERCERA,554,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,397,"SIMON  BOLIVAR  2-34  Y  TOMAS  ORDOÑEZ",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,554,1,"DELICIAS  LAS  ",,"SIMON  BOLIVAR  2-34  Y  TOMAS  ORDOÑEZ",TERCERA,554,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,397,"SIMON  BOLIVAR  2-34  Y  TOMAS  ORDOÑEZ",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,3,"CUARTA                                            ",1,1,,072430452,,546,1,"ESTANCIA  BLANCA",,"SANGURIMA  1-58  Y  HUAYNACAPAC",CUARTA,546,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,393,"SANGURIMA  1-58  Y  HUAYNACAPAC",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,7,"(1)  Un  tenedor                                  ",1,1,,072430452,,545,1,FABIANOS,https://fabianosecuador.com,"CULTURA  CONSANGA  SN  CULTURA  CHIRIJE","(1)  Un  tenedor",545,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,392,"CULTURA  CONSANGA  SN  CULTURA  CHIRIJE",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,544,1,FABIANOS,,"PRESIDENTE  CORDOVA  4-84  Y  MARIANO  CUEVA",TERCERA,544,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,391,"PRESIDENTE  CORDOVA  4-84  Y  MARIANO  CUEVA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,544,1,FABIANOS,,"PRESIDENTE  CORDOVA  4-84  Y  MARIANO  CUEVA",TERCERA,544,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,391,"PRESIDENTE  CORDOVA  4-84  Y  MARIANO  CUEVA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,544,1,FABIANOS,,"PRESIDENTE  CORDOVA  4-84  Y  MARIANO  CUEVA",TERCERA,544,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,391,"PRESIDENTE  CORDOVA  4-84  Y  MARIANO  CUEVA",,3
